timestamp,cpu_usage,tcp_connections,udp_connections,packet_rate
2024-06-19 13:41:00,9,1311,110,116
2024-06-19 13:41:30,9,1317,105,102
2024-06-19 13:42:00,9,1304,100,83
2024-06-19 13:42:30,10,1299,87,105
2024-06-19 13:43:00,10,1337,137,181
2024-06-19 13:43:30,10,1339,145,97
2024-06-19 13:44:00,9,1350,96,84
2024-06-19 13:44:30,8,1333,78,82
2024-06-19 13:45:00,8,1305,63,94
2024-06-19 13:45:30,7,1317,63,87
2024-06-19 13:46:00,9,1323,75,95
2024-06-19 13:46:30,9,1327,79,251
2024-06-19 13:47:00,8,1318,68,237
2024-06-19 13:47:30,8,1297,62,87
2024-06-19 13:48:00,8,1292,69,80
2024-06-19 13:48:30,9,1290,72,91
2024-06-19 13:49:00,8,1299,64,116
2024-06-19 13:49:30,8,783,49,116
2024-06-19 13:50:00,3,341,89,84
2024-06-19 13:50:30,4,642,99,88
2024-06-19 13:51:00,6,934,59,142
2024-06-19 13:51:30,8,1226,67,157
2024-06-19 13:52:00,8,1297,75,94
2024-06-19 13:52:30,7,1298,74,81
2024-06-19 13:53:00,8,1312,79,94
2024-06-19 13:53:30,8,1300,85,89
2024-06-19 13:54:00,8,1291,84,121
2024-06-19 13:54:30,9,519,95,223
2024-06-19 13:55:00,8,402,158,180
2024-06-19 13:55:30,5,608,165,218
2024-06-19 13:56:00,7,905,128,80
2024-06-19 13:56:30,8,1113,64,86
2024-06-19 13:57:00,9,1351,72,97
2024-06-19 13:57:30,8,1314,85,134
2024-06-19 13:58:00,9,1341,138,128
2024-06-19 13:58:30,9,1340,128,85
2024-06-19 13:59:00,9,1347,117,128
2024-06-19 13:59:30,8,1332,141,79
2024-06-19 14:00:00,8,1301,101,80
2024-06-19 14:00:30,8,1296,65,80
2024-06-19 14:01:00,8,1287,60,79
2024-06-19 14:01:30,8,1277,70,81
2024-06-19 14:02:00,8,1276,64,80
2024-06-19 14:02:30,8,1273,52,78
2024-06-19 14:03:00,7,1296,64,194
2024-06-19 14:03:30,8,1310,81,84
2024-06-19 14:04:00,8,1321,80,99
2024-06-19 14:04:30,8,1345,69,73
2024-06-19 14:05:00,8,1335,51,82
2024-06-19 14:05:30,8,1344,53,74
2024-06-19 14:06:00,8,1316,57,75
2024-06-19 14:06:30,7,1302,61,73
2024-06-19 14:07:00,8,1292,67,84
2024-06-19 14:07:30,9,1280,64,74
2024-06-19 14:08:00,8,1279,72,80
2024-06-19 14:08:30,8,1276,72,71
2024-06-19 14:09:00,8,1281,62,85
2024-06-19 14:09:30,8,1288,61,76
2024-06-19 14:10:00,8,1283,63,85
2024-06-19 14:10:30,7,1319,58,86
2024-06-19 14:11:00,8,1316,71,78
2024-06-19 14:11:30,8,1314,72,171
2024-06-19 14:12:00,7,1298,77,177
2024-06-19 14:12:30,7,1270,80,99
2024-06-19 14:13:00,7,1261,71,84
2024-06-19 14:13:30,7,1274,79,78
2024-06-19 14:14:00,8,1274,92,78
2024-06-19 14:14:30,8,1286,92,165
2024-06-19 14:15:00,8,1291,100,108
2024-06-19 14:15:30,8,1303,105,100
2024-06-19 14:16:00,8,1310,80,76
2024-06-19 14:16:30,8,1312,62,76
2024-06-19 14:17:00,8,1315,60,79
2024-06-19 14:17:30,8,1293,61,73
2024-06-19 14:18:00,8,1288,60,76
2024-06-19 14:18:30,8,1283,56,72
2024-06-19 14:19:00,8,1276,60,87
2024-06-19 14:19:30,7,1282,63,103
2024-06-19 14:20:00,8,1279,64,101
2024-06-19 14:20:30,7,509,90,82
2024-06-19 14:21:00,5,515,138,81
2024-06-19 14:21:30,6,809,105,81
2024-06-19 14:22:00,7,1107,73,88
2024-06-19 14:22:30,8,1299,71,79
2024-06-19 14:23:00,8,1294,66,103
2024-06-19 14:23:30,8,1288,70,101
2024-06-19 14:24:00,8,1281,73,89
2024-06-19 14:24:30,8,1265,64,80
2024-06-19 14:25:00,8,1274,68,90
2024-06-19 14:25:30,8,1299,87,87
2024-06-19 14:26:00,8,1303,88,154
2024-06-19 14:26:30,9,1205,104,85
2024-06-19 14:27:00,4,225,86,135
2024-06-19 14:27:30,5,536,105,80
2024-06-19 14:28:00,6,832,79,91
2024-06-19 14:28:30,7,1126,68,84
2024-06-19 14:29:00,8,1281,59,105
2024-06-19 14:29:30,8,1280,50,117
2024-06-19 14:30:00,8,1293,86,114
2024-06-19 14:30:30,8,1294,105,91
2024-06-19 14:31:00,8,1292,83,119
2024-06-19 14:31:30,8,1291,71,87
2024-06-19 14:32:00,7,1288,71,89
2024-06-19 14:32:30,8,1276,70,114
2024-06-19 14:33:00,8,1287,67,89
2024-06-19 14:33:30,8,1298,78,89
2024-06-19 14:34:00,8,1300,94,92
2024-06-19 14:34:30,7,1310,80,77
2024-06-19 14:35:00,8,1305,56,86
2024-06-19 14:35:30,8,1313,61,85
2024-06-19 14:36:00,8,906,92,85
2024-06-19 14:36:30,3,313,151,79
2024-06-19 14:37:00,4,617,146,96
2024-06-19 14:37:30,5,910,76,80
2024-06-19 14:38:00,8,1187,65,96
2024-06-19 14:38:30,8,1275,60,88
2024-06-19 14:39:00,8,1272,67,88
2024-06-19 14:39:30,8,1267,56,91
2024-06-19 14:40:00,8,846,50,85
2024-06-19 14:40:30,4,356,89,92
2024-06-19 14:41:00,5,669,109,88
2024-06-19 14:41:30,6,958,75,78
2024-06-19 14:42:00,7,1238,79,99
2024-06-19 14:42:30,8,1290,74,81
2024-06-19 14:43:00,7,1270,60,85
2024-06-19 14:43:30,7,1265,53,76
2024-06-19 14:44:00,8,1276,59,84
2024-06-19 14:44:30,8,1277,56,76
2024-06-19 14:45:00,8,1277,47,80
2024-06-19 14:45:30,8,1276,47,81
2024-06-19 14:46:00,8,1286,66,79
2024-06-19 14:46:30,8,1286,79,79
2024-06-19 14:47:00,7,1286,69,87
2024-06-19 14:47:30,8,1288,58,78
2024-06-19 14:48:00,8,1279,51,82
2024-06-19 14:48:30,7,1272,52,76
2024-06-19 14:49:00,7,1257,58,80
2024-06-19 14:49:30,8,1242,55,79
2024-06-19 14:50:00,7,1249,56,91
2024-06-19 14:50:30,8,1264,70,82
2024-06-19 14:51:00,8,1277,85,93
2024-06-19 14:51:30,8,1288,73,71
2024-06-19 14:52:00,8,1288,52,86
