File Path,Start Time,End Time,Bandwidth (bps),TCP Count,UDP Count
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-08_59_09_wired.pcap,2025-02-01T17:29:48-05:00,2025-02-01T17:30:12-05:00,6806.39,347,133
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_00_06_wireless.pcap,2025-02-01T17:30:12-05:00,2025-02-01T17:30:18-05:00,1440.08,0,39
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_00_09_wired.pcap,2025-02-01T17:30:18-05:00,2025-02-01T17:31:51-05:00,49765.84,1484,156
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_01_06_wireless.pcap,2025-02-01T17:31:51-05:00,2025-02-01T17:31:57-05:00,3050.73,0,82
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_01_09_wired.pcap,2025-02-01T17:31:57-05:00,2025-02-01T17:32:57-05:00,3517.72,547,162
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_02_06_wireless.pcap,2025-02-01T17:32:57-05:00,2025-02-01T17:33:13-05:00,2707.00,0,151
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_02_10_wired.pcap,2025-02-01T17:33:13-05:00,2025-02-01T17:38:22-05:00,96613.29,7456,232
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_03_06_wireless.pcap,2025-02-01T17:38:22-05:00,2025-02-01T17:38:50-05:00,1388.29,46,161
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_03_10_wired.pcap,2025-02-01T17:38:50-05:00,2025-02-01T17:42:30-05:00,123614.96,7339,167
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_04_06_wireless.pcap,2025-02-01T17:42:30-05:00,2025-02-01T17:42:43-05:00,1088.87,4,87
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_04_10_wired.pcap,2025-02-01T17:42:43-05:00,2025-02-01T17:44:46-05:00,160771.53,4491,98
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_05_06_wireless.pcap,2025-02-01T17:44:46-05:00,2025-02-01T17:45:08-05:00,1900.13,82,125
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_05_10_wired.pcap,2025-02-01T17:45:08-05:00,2025-02-01T17:52:29-05:00,72702.71,8919,125
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_06_06_wireless.pcap,2025-02-01T17:52:29-05:00,2025-02-01T17:52:46-05:00,1314.30,17,203
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_06_10_wired.pcap,2025-02-01T17:52:46-05:00,2025-02-01T17:56:09-05:00,115366.51,5497,144
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_07_06_wireless.pcap,2025-02-01T17:56:09-05:00,2025-02-01T17:56:41-05:00,1555.28,10,323
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_07_10_wired.pcap,2025-02-01T17:56:41-05:00,2025-02-01T17:59:45-05:00,114190.53,4885,124
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_08_06_wireless.pcap,2025-02-01T17:59:45-05:00,2025-02-01T18:00:13-05:00,1645.83,72,134
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_08_10_wired.pcap,2025-02-01T18:00:13-05:00,2025-02-01T18:03:10-05:00,122985.65,4960,210
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_09_06_wireless.pcap,2025-02-01T18:03:10-05:00,2025-02-01T18:03:25-05:00,2521.84,40,170
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_09_10_wired.pcap,2025-02-01T18:03:25-05:00,2025-02-01T18:05:59-05:00,130037.23,4533,158
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_10_06_wireless.pcap,2025-02-01T18:05:59-05:00,2025-02-01T18:06:05-05:00,2220.56,6,82
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_10_10_wired.pcap,2025-02-01T18:06:05-05:00,2025-02-01T18:07:58-05:00,171490.61,3927,187
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_11_06_wireless.pcap,2025-02-01T18:07:58-05:00,2025-02-01T18:08:12-05:00,2086.49,10,142
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_11_10_wired.pcap,2025-02-01T18:08:12-05:00,2025-02-01T18:10:10-05:00,163918.06,4093,127
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_12_06_wireless.pcap,2025-02-01T18:10:10-05:00,2025-02-01T18:10:24-05:00,2309.06,0,150
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_12_10_wired.pcap,2025-02-01T18:10:24-05:00,2025-02-01T18:12:52-05:00,130875.49,4155,160
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_13_06_wireless.pcap,2025-02-01T18:12:52-05:00,2025-02-01T18:13:05-05:00,1293.40,0,101
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_13_10_wired.pcap,2025-02-01T18:13:05-05:00,2025-02-01T18:15:26-05:00,137779.21,4101,92
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_14_06_wireless.pcap,2025-02-01T18:15:26-05:00,2025-02-01T18:15:32-05:00,5806.76,4,163
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_14_10_wired.pcap,2025-02-01T18:15:32-05:00,2025-02-01T18:18:05-05:00,127100.16,4057,136
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_15_06_wireless.pcap,2025-02-01T18:18:05-05:00,2025-02-01T18:18:20-05:00,1518.23,0,120
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_15_10_wired.pcap,2025-02-01T18:18:20-05:00,2025-02-01T18:20:10-05:00,165907.83,3851,114
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_16_06_wireless.pcap,2025-02-01T18:20:10-05:00,2025-02-01T18:20:16-05:00,2741.40,0,107
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_16_10_wired.pcap,2025-02-01T18:20:16-05:00,2025-02-01T18:22:27-05:00,147208.97,3983,132
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_17_06_wireless.pcap,2025-02-01T18:22:27-05:00,2025-02-01T18:22:40-05:00,3128.38,0,166
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_17_10_wired.pcap,2025-02-01T18:22:40-05:00,2025-02-01T18:24:23-05:00,176128.32,3700,83
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_18_06_wireless.pcap,2025-02-01T18:24:23-05:00,2025-02-01T18:24:35-05:00,1561.54,0,115
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_18_10_wired.pcap,2025-02-01T18:24:35-05:00,2025-02-01T18:26:45-05:00,149137.64,3962,74
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_19_06_wireless.pcap,2025-02-01T18:26:45-05:00,2025-02-01T18:27:01-05:00,1589.05,0,143
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_19_10_wired.pcap,2025-02-01T18:27:01-05:00,2025-02-01T18:28:56-05:00,169590.62,3948,69
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_20_06_wireless.pcap,2025-02-01T18:28:56-05:00,2025-02-01T18:29:02-05:00,2264.04,0,87
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_20_10_wired.pcap,2025-02-01T18:29:02-05:00,2025-02-01T18:30:50-05:00,180069.95,3944,71
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_21_06_wireless.pcap,2025-02-01T18:30:50-05:00,2025-02-01T18:31:04-05:00,1560.12,0,121
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_21_10_wired.pcap,2025-02-01T18:31:04-05:00,2025-02-01T18:33:13-05:00,150503.70,3985,76
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_22_06_wireless.pcap,2025-02-01T18:33:13-05:00,2025-02-01T18:33:19-05:00,4016.33,0,113
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_22_10_wired.pcap,2025-02-01T18:33:19-05:00,2025-02-01T18:35:06-05:00,180576.78,3923,92
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_23_06_wireless.pcap,2025-02-01T18:35:06-05:00,2025-02-01T18:35:18-05:00,1962.81,0,122
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_23_10_wired.pcap,2025-02-01T18:35:18-05:00,2025-02-01T18:37:13-05:00,170279.91,4029,95
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_24_06_wireless.pcap,2025-02-01T18:37:13-05:00,2025-02-01T18:37:26-05:00,2065.60,70,106
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_24_10_wired.pcap,2025-02-01T18:37:26-05:00,2025-02-01T18:39:36-05:00,149738.12,4028,97
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_25_06_wireless.pcap,2025-02-01T18:39:36-05:00,2025-02-01T18:39:42-05:00,4729.21,11,140
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_25_10_wired.pcap,2025-02-01T18:39:42-05:00,2025-02-01T18:42:13-05:00,128146.27,4109,93
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_26_07_wireless.pcap,2025-02-01T18:42:13-05:00,2025-02-01T18:42:28-05:00,1858.68,9,123
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_26_10_wired.pcap,2025-02-01T18:42:28-05:00,2025-02-01T18:44:12-05:00,184577.52,3940,80
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_27_07_wireless.pcap,2025-02-01T18:44:12-05:00,2025-02-01T18:44:28-05:00,2187.39,15,139
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_27_10_wired.pcap,2025-02-01T18:44:28-05:00,2025-02-01T18:46:19-05:00,164957.80,3738,60
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_28_07_wireless.pcap,2025-02-01T18:46:19-05:00,2025-02-01T18:46:32-05:00,1492.42,0,105
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_28_10_wired.pcap,2025-02-01T18:46:32-05:00,2025-02-01T18:48:17-05:00,179588.82,3679,68
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_29_07_wireless.pcap,2025-02-01T18:48:17-05:00,2025-02-01T18:48:29-05:00,2547.41,4,155
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_29_10_wired.pcap,2025-02-01T18:48:29-05:00,2025-02-01T18:50:35-05:00,159306.87,4259,82
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_30_07_wireless.pcap,2025-02-01T18:50:35-05:00,2025-02-01T18:50:41-05:00,2395.20,0,89
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_30_10_wired.pcap,2025-02-01T18:50:41-05:00,2025-02-01T18:52:18-05:00,200852.27,3861,94
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_31_07_wireless.pcap,2025-02-01T18:52:18-05:00,2025-02-01T18:52:34-05:00,1751.00,0,141
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_31_10_wired.pcap,2025-02-01T18:52:34-05:00,2025-02-01T18:54:09-05:00,202045.43,3944,94
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_32_07_wireless.pcap,2025-02-01T18:54:09-05:00,2025-02-01T18:54:21-05:00,2658.10,0,120
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_32_10_wired.pcap,2025-02-01T18:54:21-05:00,2025-02-01T18:56:02-05:00,191536.83,3909,108
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_33_07_wireless.pcap,2025-02-01T18:56:02-05:00,2025-02-01T18:56:14-05:00,2158.90,0,134
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_33_10_wired.pcap,2025-02-01T18:56:14-05:00,2025-02-01T18:58:02-05:00,178978.16,3971,74
/home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_34_07_wireless.pcap,2025-02-01T18:58:02-05:00,2025-02-01T18:58:08-05:00,2666.00,0,101
