2024-08-22 17:10:48, CPU USAGE: 1%, TOTAL MEM: 251776 KB, USED MEM: 35444 KB, FREE MEM: 188972 KB
2024-08-22 17:10:49, CPU USAGE: 21%, TOTAL MEM: 251776 KB, USED MEM: 35572 KB, FREE MEM: 188808 KB
2024-08-22 17:10:50, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35560 KB, FREE MEM: 188996 KB
2024-08-22 17:10:51, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35428 KB, FREE MEM: 188952 KB
2024-08-22 17:10:52, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 37940 KB, FREE MEM: 187892 KB
2024-08-22 17:10:53, CPU USAGE: 24%, TOTAL MEM: 251776 KB, USED MEM: 35604 KB, FREE MEM: 188824 KB
2024-08-22 17:10:55, CPU USAGE: 14%, TOTAL MEM: 251776 KB, USED MEM: 35540 KB, FREE MEM: 188872 KB
2024-08-22 17:10:56, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35676 KB, FREE MEM: 188832 KB
2024-08-22 17:10:57, CPU USAGE: 12%, TOTAL MEM: 251776 KB, USED MEM: 35700 KB, FREE MEM: 188720 KB
2024-08-22 17:10:58, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35560 KB, FREE MEM: 188844 KB
2024-08-22 17:10:59, CPU USAGE: 20%, TOTAL MEM: 251776 KB, USED MEM: 35552 KB, FREE MEM: 188884 KB
2024-08-22 17:11:00, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35588 KB, FREE MEM: 188712 KB
2024-08-22 17:11:01, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 36024 KB, FREE MEM: 188436 KB
2024-08-22 17:11:02, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35692 KB, FREE MEM: 188784 KB
2024-08-22 17:11:03, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35740 KB, FREE MEM: 188748 KB
2024-08-22 17:11:04, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 36612 KB, FREE MEM: 188500 KB
2024-08-22 17:11:05, CPU USAGE: 20%, TOTAL MEM: 251776 KB, USED MEM: 35676 KB, FREE MEM: 188716 KB
2024-08-22 17:11:06, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35692 KB, FREE MEM: 188848 KB
2024-08-22 17:11:08, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35744 KB, FREE MEM: 188712 KB
2024-08-22 17:11:09, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35724 KB, FREE MEM: 188504 KB
2024-08-22 17:11:10, CPU USAGE: 23%, TOTAL MEM: 251776 KB, USED MEM: 35836 KB, FREE MEM: 188524 KB
